S0,mktIV,K,T,r,d
4468.17,0.6625,3400,14,0.0357,0
4468.17,0.6007,3600,14,0.0357,0
4468.17,0.5084,3800,14,0.0357,0
4468.17,0.4541,4000,14,0.0357,0
4468.17,0.406,4200,14,0.0357,0
4468.17,0.3726,4400,14,0.0357,0
4468.17,0.355,4500,14,0.0357,0
4468.17,0.3428,4600,14,0.0357,0
4468.17,0.3302,4800,14,0.0357,0
4468.17,0.3343,5000,14,0.0357,0
4468.17,0.346,5200,14,0.0357,0
4468.17,0.3857,5400,14,0.0357,0
4468.17,0.3976,5600,14,0.0357,0
4468.17,0.4875,3400,42,0.0349,0
4468.17,0.4543,3600,42,0.0349,0
4468.17,0.4221,3800,42,0.0349,0
4468.17,0.3869,4000,42,0.0349,0
4468.17,0.3607,4200,42,0.0349,0
4468.17,0.3396,4400,42,0.0349,0
4468.17,0.3277,4500,42,0.0349,0
4468.17,0.3209,4600,42,0.0349,0
4468.17,0.3062,4800,42,0.0349,0
4468.17,0.2959,5000,42,0.0349,0
4468.17,0.2845,5200,42,0.0349,0
4468.17,0.286,5400,42,0.0349,0
4468.17,0.286,5600,42,0.0349,0
4468.17,0.4204,3400,77,0.0341,0
4468.17,0.3967,3600,77,0.0341,0
4468.17,0.3718,3800,77,0.0341,0
4468.17,0.3492,4000,77,0.0341,0
4468.17,0.333,4200,77,0.0341,0
4468.17,0.3108,4400,77,0.0341,0
4468.17,0.3012,4500,77,0.0341,0
4468.17,0.2958,4600,77,0.0341,0
4468.17,0.2799,4800,77,0.0341,0
4468.17,0.2705,5000,77,0.0341,0
4468.17,0.2624,5200,77,0.0341,0
4468.17,0.2578,5400,77,0.0341,0
4468.17,0.2607,5600,77,0.0341,0
4468.17,0.3667,3400,168,0.0355,0
4468.17,0.3511,3600,168,0.0355,0
4468.17,0.3327,3800,168,0.0355,0
4468.17,0.3149,4000,168,0.0355,0
4468.17,0.2999,4200,168,0.0355,0
4468.17,0.2871,4400,168,0.0355,0
4468.17,0.2781,4500,168,0.0355,0
4468.17,0.274,4600,168,0.0355,0
4468.17,0.2631,4800,168,0.0355,0
4468.17,0.254,5000,168,0.0355,0
4468.17,0.2463,5200,168,0.0355,0
4468.17,0.2399,5400,168,0.0355,0
4468.17,0.2356,5600,168,0.0355,0
4468.17,0.3431,3400,259,0.0359,0
4468.17,0.3279,3600,259,0.0359,0
4468.17,0.3155,3800,259,0.0359,0
4468.17,0.2963,4000,259,0.0359,0
4468.17,0.2887,4200,259,0.0359,0
4468.17,0.2788,4400,259,0.0359,0
4468.17,0.2781,4500,259,0.0359,0
4468.17,0.2688,4600,259,0.0359,0
4468.17,0.2573,4800,259,0.0359,0
4468.17,0.2504,5000,259,0.0359,0
4468.17,0.2425,5200,259,0.0359,0
4468.17,0.2357,5400,259,0.0359,0
4468.17,0.2297,5600,259,0.0359,0
4468.17,0.3267,3400,350,0.0368,0
4468.17,0.3154,3600,350,0.0368,0
4468.17,0.3027,3800,350,0.0368,0
4468.17,0.2926,4000,350,0.0368,0
4468.17,0.2811,4200,350,0.0368,0
4468.17,0.2722,4400,350,0.0368,0
4468.17,0.2661,4500,350,0.0368,0
4468.17,0.2627,4600,350,0.0368,0
4468.17,0.2533,4800,350,0.0368,0
4468.17,0.2464,5000,350,0.0368,0
4468.17,0.2385,5200,350,0.0368,0
4468.17,0.2327,5400,350,0.0368,0
4468.17,0.2268,5600,350,0.0368,0
4468.17,0.3121,3400,532,0.0386,0
4468.17,0.2984,3600,532,0.0386,0
4468.17,0.2919,3800,532,0.0386,0
4468.17,0.2819,4000,532,0.0386,0
4468.17,0.2751,4200,532,0.0386,0
4468.17,0.2661,4400,532,0.0386,0
4468.17,0.258,4600,532,0.0386,0
4468.17,0.2504,4800,532,0.0386,0
4468.17,0.2448,5000,532,0.0386,0
4468.17,0.2373,5200,532,0.0386,0
4468.17,0.2312,5400,532,0.0386,0
4468.17,0.2241,5600,532,0.0386,0
4468.17,0.2921,3600,714,0.0401,0
4468.17,0.288,3800,714,0.0401,0
4468.17,0.28,4000,714,0.0401,0
4468.17,0.2775,4200,714,0.0401,0
4468.17,0.2686,4400,714,0.0401,0
4468.17,0.2681,4500,714,0.0401,0
4468.17,0.262,4600,714,0.0401,0
4468.17,0.2544,4800,714,0.0401,0
4468.17,0.2462,5000,714,0.0401,0
4468.17,0.2422,5200,714,0.0401,0
4468.17,0.2351,5400,714,0.0401,0
4468.17,0.232,5600,714,0.0401,0
