S0,mktIV,K,T,r,d
1089.19,0.4088361,875,19,0,0.0216
1089.19,0.352261724,925,19,0,0.0216
1089.19,0.324990883,950,19,0,0.0216
1089.19,0.270728082,1000,19,0,0.0216
1089.19,0.222435551,1050,19,0,0.0216
1089.19,0.203907695,1075,19,0,0.0216
1089.19,0.195395597,1090,19,0,0.0216
1089.19,0.16153973,1120,19,0,0.0216
1089.19,0.155307177,1150,19,0,0.0216
1089.19,0.161236158,1175,19,0,0.0216
1089.19,0.165492275,1185,19,0,0.0216
1089.19,0.397340587,800,46,0.00085,0.0216
1089.19,0.387377312,825,46,0.00085,0.0216
1089.19,0.346677446,875,46,0.00085,0.0216
1089.19,0.333868109,900,46,0.00085,0.0216
1089.19,0.31449133,925,46,0.00085,0.0216
1089.19,0.295920191,950,46,0.00085,0.0216
1089.19,0.268056435,985,46,0.00085,0.0216
1089.19,0.251802168,1010,46,0.00085,0.0216
1089.19,0.224676348,1050,46,0.00085,0.0216
1089.19,0.205375847,1085,46,0.00085,0.0216
1089.19,0.192409913,1100,46,0.00085,0.0216
1089.19,0.161948202,1150,46,0.00085,0.0216
1089.19,0.156469564,1200,46,0.00085,0.0216
1089.19,0.158138109,1225,46,0.00085,0.0216
1089.19,0.381353653,700,137,0.00165,0.0216
1089.19,0.33433189,800,137,0.00165,0.0216
1089.19,0.291438554,900,137,0.00165,0.0216
1089.19,0.247084281,1000,137,0.00165,0.0216
1089.19,0.205079203,1100,137,0.00165,0.0216
1089.19,0.188880399,1150,137,0.00165,0.0216
1089.19,0.173075046,1200,137,0.00165,0.0216
1089.19,0.166943884,1225,137,0.00165,0.0216
1089.19,0.158338517,1275,137,0.00165,0.0216
1089.19,0.42268087,500,228,0.00233,0.0216
1089.19,0.31067966,800,228,0.00233,0.0216
1089.19,0.275509594,900,228,0.00233,0.0216
1089.19,0.243409457,1000,228,0.00233,0.0216
1089.19,0.225402931,1050,228,0.00233,0.0216
1089.19,0.181395952,1200,228,0.00233,0.0216
1089.19,0.160052873,1325,228,0.00233,0.0216
1089.19,0.406208379,500,319,0.003,0.0216
1089.19,0.376864748,600,319,0.003,0.0216
1089.19,0.299644184,800,319,0.003,0.0216
1089.19,0.268323766,900,319,0.003,0.0216
1089.19,0.233122066,1025,319,0.003,0.0216
1089.19,0.210805466,1100,319,0.003,0.0216
1089.19,0.187441844,1200,319,0.003,0.0216
1089.19,0.170506414,1300,319,0.003,0.0216
1089.19,0.35638535,500,683,0.0086,0.0216
1089.19,0.329092928,600,683,0.0086,0.0216
1089.19,0.291011935,750,683,0.0086,0.0216
1089.19,0.256571559,900,683,0.0086,0.0216
1089.19,0.237094233,1000,683,0.0086,0.0216
1089.19,0.215434807,1100,683,0.0086,0.0216
1089.19,0.194792801,1225,683,0.0086,0.0216
1089.19,0.184413207,1300,683,0.0086,0.0216
1089.19,0.165405273,1500,683,0.0086,0.0216
1089.19,0.154435954,1700,683,0.0086,0.0216
1089.19,0.335543621,500,1054,0.014,0.0216
1089.19,0.281817702,750,1054,0.014,0.0216
1089.19,0.252548771,900,1054,0.014,0.0216
1089.19,0.235077663,1000,1054,0.014,0.0216
1089.19,0.226536463,1050,1054,0.014,0.0216
1089.19,0.218779033,1125,1054,0.014,0.0216
1089.19,0.190646985,1350,1054,0.014,0.0216
1089.19,0.177450439,1500,1054,0.014,0.0216
1089.19,0.156939634,1800,1054,0.014,0.0216
