hidden_layers,hidden_dim,test_mse,time_s
2,32,0.00018466275728411694,8.650309562683105
2,64,6.500852628341043e-05,12.06445837020874
2,128,4.561317454066197e-05,14.477264404296875
2,256,3.892273715346744e-05,20.328771829605103
3,32,9.318121111062554e-05,9.766021490097046
3,64,3.216763169357944e-05,15.152982234954834
3,128,3.2950969398370944e-05,24.209203720092773
3,256,5.662938116422973e-05,35.24827337265015
4,32,3.8094992112050064e-05,11.384100914001465
4,64,9.620696770032233e-05,19.123087406158447
4,128,3.7058417489033866e-05,26.33809733390808
4,256,2.8589445216137855e-05,50.97926735877991
5,32,2.8834186060579513e-05,13.853063821792603
5,64,5.711810971409618e-05,22.683239936828613
5,128,0.00010201180803631631,34.93999886512756
5,256,3.014815848338061e-05,71.25226879119873
