eval,mse,grad_norm,time_s
1,1268.3570556640625,47425.14453125,0.009597063064575195
2,1268.357666015625,47425.2265625,0.019768238067626953
3,1268.357666015625,47425.234375,0.03047800064086914
4,1268.3570556640625,47425.14453125,0.041373252868652344
5,1268.3570556640625,47425.14453125,0.05030679702758789
6,1268.3570556640625,47425.14453125,0.06056332588195801
7,1239.955078125,44718.38671875,0.07165217399597168
8,1239.955322265625,44718.4296875,0.08131694793701172
9,1239.955078125,44718.38671875,0.09113931655883789
10,1239.955078125,44718.38671875,0.10025620460510254
11,1239.955078125,44718.38671875,0.10971283912658691
12,1239.955078125,44718.38671875,0.11806154251098633
13,1208.495361328125,41375.12890625,0.12680554389953613
14,1208.4954833984375,41375.16015625,0.13528132438659668
15,1208.495849609375,41375.1796875,0.1442711353302002
16,1208.495361328125,41375.12890625,0.15290474891662598
17,1208.495361328125,41375.12890625,0.1613469123840332
18,1208.495361328125,41375.12890625,0.16941308975219727
19,1153.0634765625,36468.76171875,0.17838788032531738
20,1153.0638427734375,36468.83203125,0.18741750717163086
21,1153.0638427734375,36468.8125,0.19702625274658203
22,1153.0634765625,36468.76171875,0.2063884735107422
23,1153.0634765625,36468.76171875,0.21702337265014648
24,1153.0634765625,36468.76171875,0.2269132137298584
25,1117.7672119140625,32239.71875,0.23629188537597656
26,1117.766845703125,32239.76953125,0.24609065055847168
27,1117.767578125,32239.740234375,0.25506162643432617
28,1117.7672119140625,32239.71875,0.2642531394958496
29,1117.7672119140625,32239.71875,0.27361297607421875
30,1117.7672119140625,32239.71875,0.28205394744873047
31,1088.8629150390625,29778.29296875,0.2912411689758301
32,1088.8638916015625,29778.3203125,0.3002746105194092
33,1088.863037109375,29778.412109375,0.30914855003356934
34,1088.8629150390625,29778.29296875,0.3172287940979004
35,1088.8629150390625,29778.29296875,0.3256857395172119
36,1088.8629150390625,29778.29296875,0.33361291885375977
37,1072.4793701171875,25450.7421875,0.3415045738220215
38,1072.47998046875,25450.76953125,0.3489494323730469
39,1072.4798583984375,25450.76953125,0.3576774597167969
40,1072.4793701171875,25450.7421875,0.3659493923187256
41,1072.4793701171875,25450.7421875,0.3755173683166504
42,1072.4793701171875,25450.7421875,0.3836667537689209
43,1044.26416015625,19712.220703125,0.39229679107666016
44,1044.2637939453125,19712.25,0.40017032623291016
45,1044.2646484375,19712.26953125,0.40988683700561523
46,1044.26416015625,19712.220703125,0.41791629791259766
47,1044.26416015625,19712.220703125,0.4257996082305908
48,1044.26416015625,19712.220703125,0.4327983856201172
49,1030.7518310546875,18553.26171875,0.4405374526977539
50,1030.751953125,18553.310546875,0.4479362964630127
51,1030.752197265625,18553.341796875,0.45728063583374023
52,1030.7518310546875,18553.26171875,0.4650411605834961
53,1030.7518310546875,18553.26171875,0.474346399307251
54,1030.7518310546875,18553.26171875,0.4830172061920166
55,1025.243408203125,17503.369140625,0.492800235748291
56,1025.243896484375,17503.341796875,0.5020720958709717
57,1025.24267578125,17503.41796875,0.509955883026123
58,1025.243408203125,17503.369140625,0.517418622970581
59,1025.243408203125,17503.369140625,0.5253291130065918
60,1025.243408203125,17503.369140625,0.5328137874603271
61,1030.568603515625,17801.048828125,0.5408563613891602
62,1027.4029541015625,17599.033203125,0.5481522083282471
63,1026.1639404296875,17535.341796875,0.5561285018920898
64,1025.6614990234375,17516.25,0.5642940998077393
65,1025.43212890625,17508.814453125,0.5718705654144287
66,1025.328125,17505.796875,0.579143762588501
67,1025.281982421875,17504.359375,0.5864663124084473
68,1025.2606201171875,17503.94140625,0.5937566757202148
69,1025.2509765625,17503.51953125,0.6011981964111328
70,1025.24755859375,17503.4921875,0.6085073947906494
71,1025.245849609375,17503.404296875,0.6162171363830566
72,1025.245361328125,17503.349609375,0.6257014274597168
73,1025.2431640625,17503.380859375,0.6351795196533203
74,1025.2435302734375,17503.404296875,0.6445550918579102
75,1025.244140625,17503.4453125,0.6525418758392334
76,1025.2431640625,17503.380859375,0.6600174903869629
77,1025.2431640625,17503.380859375,0.6674609184265137
78,1025.2431640625,17503.380859375,0.6749382019042969
79,1025.2431640625,17503.3515625,0.6823534965515137
80,1025.2432861328125,17503.349609375,0.6899576187133789
81,1025.2425537109375,17503.34375,0.697439432144165
82,1025.2431640625,17503.3671875,0.7065937519073486
83,1025.2431640625,17503.380859375,0.7151010036468506
84,1025.2425537109375,17503.34375,0.7239217758178711
85,1025.2425537109375,17503.34375,0.7332296371459961
86,1025.2425537109375,17503.34375,0.7412810325622559
87,1025.2431640625,17503.3515625,0.7486531734466553
88,1025.2425537109375,17503.34375,0.756608247756958
89,1025.2431640625,17503.3671875,0.7648270130157471
90,1025.2431640625,17503.380859375,0.7729954719543457
91,1025.2425537109375,17503.34375,0.7820203304290771
92,1025.2425537109375,17503.34375,0.7927508354187012
93,1025.2425537109375,17503.34375,0.8015568256378174
