epoch,train_mse,test_mse,time_s
1,0.005762037223448016,0.00011060770461397701,2.0125811100006104
2,0.00011427442024208024,0.00016274800696880853,4.196473836898804
3,8.283025485406403e-05,9.170847172734941e-05,7.372308254241943
4,7.63555448798661e-05,0.00011875033434331814,11.975073099136353
5,6.878956286314857e-05,4.85900894691053e-05,17.67599868774414
6,7.368402038759139e-05,6.665764857972773e-05,23.325456857681274
7,6.209897272916845e-05,6.866452463424487e-05,29.26462173461914
8,6.37377592120939e-05,3.0132436826379297e-05,35.48526406288147
9,7.696148685942735e-05,2.2535876911554604e-05,41.68433499336243
10,3.695569675135304e-05,1.756112246283087e-05,47.98127269744873
11,5.86288928608443e-05,3.710517695698728e-05,54.39023232460022
12,4.4646414892317136e-05,2.2637508466667645e-05,60.847102880477905
13,3.873156525860628e-05,2.024923058420524e-05,67.34598803520203
14,4.163050440346669e-05,4.6986575197227834e-05,74.40536165237427
15,4.1404315372306997e-05,2.1599931793350558e-05,81.56166648864746
16,3.600952423239937e-05,4.1925586102730994e-05,89.17698168754578
17,3.1398809398517814e-05,1.9265963336247876e-05,97.48430061340332
18,3.8084391657640486e-05,2.2790292976114483e-05,105.57900166511536
19,2.927086735164875e-05,3.8285848944376105e-05,113.97366309165955
20,3.06717539459542e-05,2.1381479324345684e-05,123.01869773864746
21,3.124880525434621e-05,1.8068179045432306e-05,131.88022327423096
22,3.837799793629389e-05,1.9521682282929568e-05,140.11919689178467
23,2.32765114095052e-05,2.1757284764347826e-05,148.34396815299988
24,2.9768957575392122e-05,1.66076092218065e-05,156.42954969406128
25,2.799754427698505e-05,1.87040733393626e-05,164.55320239067078
26,2.701314741577486e-05,2.5085947949109855e-05,172.62739038467407
27,2.9719065442826618e-05,1.6851404334955347e-05,180.80199933052063
28,2.3316269175624527e-05,1.4306009307666557e-05,188.6139416694641
29,2.6837831933459812e-05,2.4979617580569576e-05,196.51966094970703
30,2.7428653798044213e-05,1.4270975821381535e-05,204.60823321342468
31,2.4710057486345666e-05,3.720619399942695e-05,212.66640162467957
32,2.535619722045624e-05,4.6809050926388776e-05,220.1575846672058
33,2.351783267503274e-05,1.3861733408548195e-05,226.94011688232422
34,2.7630628737392436e-05,1.3942833418773358e-05,233.91238689422607
35,2.0944054527148884e-05,1.2195078028177724e-05,240.64010667800903
36,2.173489629241064e-05,1.4754033021590465e-05,247.85603713989258
37,2.2802973923851898e-05,3.0781229295516435e-05,255.13931846618652
38,2.1714300539641333e-05,4.031542758890824e-05,262.2594404220581
39,2.2672037961276655e-05,2.7444541193928786e-05,269.0447316169739
40,2.0077100888867665e-05,1.1509262945919739e-05,275.91002464294434
41,2.4642834627964515e-05,1.9937172041960714e-05,282.1072962284088
42,1.8688253448849962e-05,4.311926240916364e-05,288.2377014160156
43,2.4045189830563782e-05,1.0084132767626719e-05,294.2496831417084
44,2.1046858296400117e-05,1.295586696172943e-05,300.2943015098572
45,2.028541908903723e-05,1.776448246326912e-05,307.02205443382263
46,2.152796654979801e-05,1.2355121944370269e-05,313.5806088447571
47,1.8723566800345428e-05,1.6665525424499757e-05,319.93853735923767
48,1.920729356547374e-05,3.7406285620353954e-05,326.4040365219116
49,2.246507796009121e-05,1.1381332600688032e-05,332.94340348243713
50,2.3198430374875207e-05,1.0917484447186035e-05,339.39259600639343
